engine,scenario,run,latency_ms
lh_cold_traces,trace_search,0,172
vt_hot,trace_search,0,53
lh_cold_logs,log_count_1h,0,43
vl_hot,log_count_1h,0,65
clickhouse,log_count_1h,0,179
lh_cold_traces,trace_search,0,147
vt_hot,trace_search,0,57
lh_cold_logs,log_count_1h,0,34
vl_hot,log_count_1h,0,60
clickhouse,log_count_1h,0,164
lh_cold_traces,trace_search,0,142
vt_hot,trace_search,0,39
lh_cold_logs,log_count_1h,0,31
vl_hot,log_count_1h,0,67
clickhouse,log_count_1h,0,176
lh_cold_traces,trace_search,0,158
vt_hot,trace_search,0,66
lh_cold_logs,log_count_1h,0,36
vl_hot,log_count_1h,0,60
clickhouse,log_count_1h,0,168
lh_cold_traces,trace_search,0,157
vt_hot,trace_search,0,56
lh_cold_logs,log_count_1h,0,34
vl_hot,log_count_1h,0,71
clickhouse,log_count_1h,0,175
lh_cold_traces,trace_search,1,147
vt_hot,trace_search,1,54
lh_cold_traces,deps,1,42
vt_hot,deps,1,65
lh_cold_traces,span_count_1h,1,125
vt_hot,span_count_1h,1,54
lh_cold_logs,log_count_1h,1,36
vl_hot,log_count_1h,1,61
clickhouse,log_count_1h,1,166
clickhouse,span_count_1h,1,172
clickhouse,trace_search,1,157
lh_cold_traces,trace_search,2,145
vt_hot,trace_search,2,45
lh_cold_traces,deps,2,46
vt_hot,deps,2,57
lh_cold_traces,span_count_1h,2,128
vt_hot,span_count_1h,2,54
lh_cold_logs,log_count_1h,2,30
vl_hot,log_count_1h,2,62
clickhouse,log_count_1h,2,166
clickhouse,span_count_1h,2,157
clickhouse,trace_search,2,157
lh_cold_traces,trace_search,3,153
vt_hot,trace_search,3,61
lh_cold_traces,deps,3,44
vt_hot,deps,3,53
lh_cold_traces,span_count_1h,3,130
vt_hot,span_count_1h,3,37
lh_cold_logs,log_count_1h,3,32
vl_hot,log_count_1h,3,57
clickhouse,log_count_1h,3,176
clickhouse,span_count_1h,3,169
clickhouse,trace_search,3,180
lh_cold_traces,trace_search,4,153
vt_hot,trace_search,4,50
lh_cold_traces,deps,4,42
vt_hot,deps,4,51
lh_cold_traces,span_count_1h,4,120
vt_hot,span_count_1h,4,59
lh_cold_logs,log_count_1h,4,33
vl_hot,log_count_1h,4,57
clickhouse,log_count_1h,4,168
clickhouse,span_count_1h,4,168
clickhouse,trace_search,4,169
lh_cold_traces,trace_search,5,152
vt_hot,trace_search,5,60
lh_cold_traces,deps,5,44
vt_hot,deps,5,48
lh_cold_traces,span_count_1h,5,125
vt_hot,span_count_1h,5,59
lh_cold_logs,log_count_1h,5,30
vl_hot,log_count_1h,5,55
clickhouse,log_count_1h,5,184
clickhouse,span_count_1h,5,163
clickhouse,trace_search,5,149
lh_cold_traces,trace_search,6,163
vt_hot,trace_search,6,60
lh_cold_traces,deps,6,43
vt_hot,deps,6,59
lh_cold_traces,span_count_1h,6,119
vt_hot,span_count_1h,6,52
lh_cold_logs,log_count_1h,6,35
vl_hot,log_count_1h,6,66
clickhouse,log_count_1h,6,167
clickhouse,span_count_1h,6,160
clickhouse,trace_search,6,152
lh_cold_traces,trace_search,7,155
vt_hot,trace_search,7,51
lh_cold_traces,deps,7,49
vt_hot,deps,7,50
lh_cold_traces,span_count_1h,7,121
vt_hot,span_count_1h,7,51
lh_cold_logs,log_count_1h,7,32
vl_hot,log_count_1h,7,62
clickhouse,log_count_1h,7,180
clickhouse,span_count_1h,7,159
clickhouse,trace_search,7,162
lh_cold_traces,trace_search,8,146
vt_hot,trace_search,8,58
lh_cold_traces,deps,8,46
vt_hot,deps,8,52
lh_cold_traces,span_count_1h,8,129
vt_hot,span_count_1h,8,60
lh_cold_logs,log_count_1h,8,31
vl_hot,log_count_1h,8,56
clickhouse,log_count_1h,8,162
clickhouse,span_count_1h,8,177
clickhouse,trace_search,8,146
lh_cold_traces,trace_search,9,157
vt_hot,trace_search,9,53
lh_cold_traces,deps,9,43
vt_hot,deps,9,56
lh_cold_traces,span_count_1h,9,121
vt_hot,span_count_1h,9,53
lh_cold_logs,log_count_1h,9,35
vl_hot,log_count_1h,9,59
clickhouse,log_count_1h,9,176
clickhouse,span_count_1h,9,172
clickhouse,trace_search,9,161
lh_cold_traces,trace_search,10,161
vt_hot,trace_search,10,55
lh_cold_traces,deps,10,38
vt_hot,deps,10,51
lh_cold_traces,span_count_1h,10,127
vt_hot,span_count_1h,10,54
lh_cold_logs,log_count_1h,10,33
vl_hot,log_count_1h,10,59
clickhouse,log_count_1h,10,182
clickhouse,span_count_1h,10,173
clickhouse,trace_search,10,174
lh_cold_traces,trace_search,11,153
vt_hot,trace_search,11,55
lh_cold_traces,deps,11,42
vt_hot,deps,11,49
lh_cold_traces,span_count_1h,11,118
vt_hot,span_count_1h,11,36
lh_cold_logs,log_count_1h,11,30
vl_hot,log_count_1h,11,65
clickhouse,log_count_1h,11,159
clickhouse,span_count_1h,11,159
