engine,scenario,run,latency_ms
lh_cold_traces,trace_search,0,145
vt_hot,trace_search,0,86
lh_cold_logs,log_count_1h,0,48
vl_hot,log_count_1h,0,74
clickhouse,log_count_1h,0,72
lh_cold_traces,trace_search,0,185
vt_hot,trace_search,0,58
lh_cold_logs,log_count_1h,0,34
vl_hot,log_count_1h,0,60
clickhouse,log_count_1h,0,87
lh_cold_traces,trace_search,0,173
vt_hot,trace_search,0,62
lh_cold_logs,log_count_1h,0,37
vl_hot,log_count_1h,0,83
clickhouse,log_count_1h,0,80
lh_cold_traces,trace_search,0,180
vt_hot,trace_search,0,104
lh_cold_logs,log_count_1h,0,32
vl_hot,log_count_1h,0,72
clickhouse,log_count_1h,0,81
lh_cold_traces,trace_search,0,172
vt_hot,trace_search,0,63
lh_cold_logs,log_count_1h,0,33
vl_hot,log_count_1h,0,72
clickhouse,log_count_1h,0,82
lh_cold_traces,trace_search,1,202
vt_hot,trace_search,1,58
lh_cold_traces,deps,1,70
vt_hot,deps,1,61
lh_cold_traces,span_count_1h,1,221
vt_hot,span_count_1h,1,68
lh_cold_logs,log_count_1h,1,36
vl_hot,log_count_1h,1,76
clickhouse,log_count_1h,1,89
clickhouse,span_count_1h,1,270
lh_cold_traces,trace_search,2,137
vt_hot,trace_search,2,67
lh_cold_traces,deps,2,68
vt_hot,deps,2,53
lh_cold_traces,span_count_1h,2,185
vt_hot,span_count_1h,2,56
lh_cold_logs,log_count_1h,2,31
vl_hot,log_count_1h,2,72
clickhouse,log_count_1h,2,75
clickhouse,span_count_1h,2,72
lh_cold_traces,trace_search,3,147
vt_hot,trace_search,3,56
lh_cold_traces,deps,3,63
vt_hot,deps,3,52
lh_cold_traces,span_count_1h,3,185
vt_hot,span_count_1h,3,51
lh_cold_logs,log_count_1h,3,31
vl_hot,log_count_1h,3,69
clickhouse,log_count_1h,3,74
clickhouse,span_count_1h,3,69
lh_cold_traces,trace_search,4,144
vt_hot,trace_search,4,49
lh_cold_traces,deps,4,48
vt_hot,deps,4,59
lh_cold_traces,span_count_1h,4,347
vt_hot,span_count_1h,4,54
lh_cold_logs,log_count_1h,4,30
vl_hot,log_count_1h,4,63
clickhouse,log_count_1h,4,79
clickhouse,span_count_1h,4,90
lh_cold_traces,trace_search,5,149
vt_hot,trace_search,5,61
lh_cold_traces,deps,5,47
vt_hot,deps,5,50
lh_cold_traces,span_count_1h,5,184
vt_hot,span_count_1h,5,60
lh_cold_logs,log_count_1h,5,30
vl_hot,log_count_1h,5,84
clickhouse,log_count_1h,5,78
clickhouse,span_count_1h,5,85
lh_cold_traces,trace_search,6,146
vt_hot,trace_search,6,53
lh_cold_traces,deps,6,52
vt_hot,deps,6,55
lh_cold_traces,span_count_1h,6,177
vt_hot,span_count_1h,6,56
lh_cold_logs,log_count_1h,6,32
vl_hot,log_count_1h,6,111
clickhouse,log_count_1h,6,87
clickhouse,span_count_1h,6,77
lh_cold_traces,trace_search,7,148
vt_hot,trace_search,7,56
lh_cold_traces,deps,7,42
vt_hot,deps,7,54
lh_cold_traces,span_count_1h,7,177
vt_hot,span_count_1h,7,63
lh_cold_logs,log_count_1h,7,28
vl_hot,log_count_1h,7,70
clickhouse,log_count_1h,7,79
clickhouse,span_count_1h,7,76
lh_cold_traces,trace_search,8,214
vt_hot,trace_search,8,51
lh_cold_traces,deps,8,42
vt_hot,deps,8,52
lh_cold_traces,span_count_1h,8,170
vt_hot,span_count_1h,8,53
lh_cold_logs,log_count_1h,8,28
vl_hot,log_count_1h,8,61
clickhouse,log_count_1h,8,78
clickhouse,span_count_1h,8,84
lh_cold_traces,trace_search,9,168
vt_hot,trace_search,9,62
lh_cold_traces,deps,9,42
vt_hot,deps,9,52
lh_cold_traces,span_count_1h,9,180
vt_hot,span_count_1h,9,59
lh_cold_logs,log_count_1h,9,30
vl_hot,log_count_1h,9,68
clickhouse,log_count_1h,9,84
clickhouse,span_count_1h,9,81
lh_cold_traces,trace_search,10,218
vt_hot,trace_search,10,54
lh_cold_traces,deps,10,45
vt_hot,deps,10,47
lh_cold_traces,span_count_1h,10,169
vt_hot,span_count_1h,10,56
lh_cold_logs,log_count_1h,10,32
vl_hot,log_count_1h,10,73
clickhouse,log_count_1h,10,80
clickhouse,span_count_1h,10,92
lh_cold_traces,trace_search,11,168
vt_hot,trace_search,11,57
lh_cold_traces,deps,11,45
vt_hot,deps,11,54
lh_cold_traces,span_count_1h,11,174
vt_hot,span_count_1h,11,55
lh_cold_logs,log_count_1h,11,31
vl_hot,log_count_1h,11,69
clickhouse,log_count_1h,11,75
clickhouse,span_count_1h,11,70
lh_cold_traces,trace_search,12,150
vt_hot,trace_search,12,52
lh_cold_traces,deps,12,46
vt_hot,deps,12,58
lh_cold_traces,span_count_1h,12,174
vt_hot,span_count_1h,12,56
lh_cold_logs,log_count_1h,12,31
